"universe","region","delay","category","name","description","typ","coverage","id","create_time","update_time","sub_category","dataset_id","payramid_multiplier","user_count","alpha_count"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_2_1g","Aggregate KPI for Board Independence, Diversity, & Effectiveness","1","0.8336","80286","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","17","26"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_2_1pme","Aggregate KPI for Compensation & Employee Satisfaction","1","0.8527","80287","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","22","34"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_2_1tic","Aggregate KPI for Community Engagement & Charitable Activities","1","0.8188","80288","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","11","14"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_2_2tic","Aggregate KPI for Human Rights Activism, Supply Chain, Labor & Human Rights Policies","1","0.8635","80290","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","11","11"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_2_3g","Aggregate KPI for Disclosure, Transparency, & Stakeholder Accountability","1","0.8423","80291","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","7","12"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_2_e","The E Score averages the E1, E2, and E3 scores.","1","0.8336","80293","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","5","18"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_cit1reg_industryrnk","Industry Rank on CIT1 with 1 being the highest rank","1","0.8188","80299","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","10","14"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_cit2regsubsecperc","SubSector Percentile on CIT2, 100% being the best","1","0.826","80303","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","18","71"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_cit2reg_industryperc","Industry Percentile on CIT2, 100% being the best","1","0.826","80301","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","20","42"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_cit2reg_industryrnk","Industry rank on CIT2, 1 being the highest rank","1","0.8635","80302","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","8","12"
"ILLIQUID_MINVOL1M","USA","1","analyst","anl11_creptcesger2g","Sector Percentile on G2, 100% being the best","1","0.8348","80310","25/10/2025 19:08:21","25/10/2025 19:08:21","analyst-esg","analyst11","1.2","6","12"
